timestamp,rolling_avg_ee,window,ee_min,hysteresis,per_strategy,latency_min_ms,latency_max_ms,capital_util_min_pct,capital_util_max_pct,max_dd
2026-02-16T08:40:54.549252+00:00,99.85063161553596,20,97.5,-0.5000000000000004,"{""momentum"": 0.9955189484660788, ""mean_revert"": 1.0, ""vol_breakout"": 1.0}",44.151497101170605,44.151497101170605,84.6191106196167,84.6191106196167,0.0
2026-02-16T08:40:55.580630+00:00,99.56435474100037,20,97.5,-0.5000000000000004,"{""momentum"": 0.9826364891119777, ""mean_revert"": 1.0, ""vol_breakout"": 1.0}",22.06742305542602,22.06742305542602,82.4290925294195,82.4290925294195,0.0
2026-02-16T08:40:56.626643+00:00,99.12432075593057,20,97.5,-0.5000000000000004,"{""momentum"": 0.9605286031258227, ""mean_revert"": 1.0, ""vol_breakout"": 1.0}",35.64564284648653,35.64564284648653,77.88659064804857,77.88659064804857,0.0
2026-02-16T08:40:57.655060+00:00,98.65704489748458,20,97.5,-0.5000000000000004,"{""momentum"": 0.9613355296463819, ""mean_revert"": 1.0, ""vol_breakout"": 1.0}",18.762593813325168,18.762593813325168,81.91928628268506,81.91928628268506,0.0
2026-02-16T08:40:58.725070+00:00,98.86153024228696,20,97.5,-0.5000000000000004,"{""momentum"": 0.9544612096914786, ""mean_revert"": 1.0, ""vol_breakout"": 1.0}",49.72267898233622,49.72267898233622,78.79193403910857,78.79193403910857,0.0
2026-02-16T10:53:25.526202+00:00,96.6192510868619,20,97.5,-0.5000000000000004,"{""momentum"": 0.8985775326058568, ""mean_revert"": 1.0, ""vol_breakout"": 1.0}",22.63830621458829,22.63830621458829,76.37909027149783,76.37909027149783,0.0
2026-02-16T10:53:26.552436+00:00,96.41578581340666,20,97.5,-0.5000000000000004,"{""momentum"": 0.8924735744021998, ""mean_revert"": 1.0, ""vol_breakout"": 1.0}",17.72828151614542,17.72828151614542,75.34141737687612,75.34141737687612,0.0
2026-02-16T10:53:27.606022+00:00,96.76734545008827,20,97.5,-0.5000000000000004,"{""momentum"": 0.903020363502648, ""mean_revert"": 1.0, ""vol_breakout"": 1.0}",46.29054759718399,46.29054759718399,78.5496850448013,78.5496850448013,0.0
2026-02-17T13:15:47.875728+00:00,96.25370579507572,20,97.5,-0.5000000000000004,"{""momentum"": 1.0, ""mean_revert"": 1.0, ""vol_breakout"": 0.8876111738522714}",19.88997896834097,19.88997896834097,75.44694977744307,75.44694977744307,0.0
2026-02-17T13:15:49.931108+00:00,97.40376908967919,20,97.5,-0.5000000000000004,"{""momentum"": 1.0, ""mean_revert"": 1.0, ""vol_breakout"": 0.9393640221094279}",33.08944839621837,33.08944839621837,84.24493398115969,84.24493398115969,0.0
2026-02-17T13:15:51.983623+00:00,96.90624232982553,20,97.5,-0.5000000000000004,"{""momentum"": 0.9751589286134257, ""mean_revert"": 1.0, ""vol_breakout"": 0.9171025384857301}",38.29652404473407,38.29652404473407,78.18343885109668,78.18343885109668,0.0
2026-02-17T13:15:54.035469+00:00,96.15282434856219,20,97.5,-0.5000000000000004,"{""momentum"": 0.9670631568164438, ""mean_revert"": 0.9930623284774474, ""vol_breakout"": 0.9283196318098518}",35.00668681633346,35.00668681633346,81.56386058539725,81.56386058539725,0.0
2026-02-17T13:15:56.098255+00:00,94.13695484034109,20,97.5,-0.5000000000000004,"{""momentum"": 0.9455631343431333, ""mean_revert"": 0.9683825609919902, ""vol_breakout"": 0.9144269300486811}",48.53193718702096,48.53193718702096,73.6732703599522,73.6732703599522,0.0
2026-02-17T13:16:31.231708+00:00,96.97031190140049,20,97.5,-0.5000000000000004,"{""momentum"": 0.9091093570420151, ""mean_revert"": 1.0, ""vol_breakout"": 1.0}",40.52576970585591,40.52576970585591,77.27429534857129,77.27429534857129,0.0
2026-02-17T13:21:50.569918+00:00,97.53679115522381,20,97.5,-0.5000000000000004,"{""momentum"": 0.9261037346567147, ""mean_revert"": 1.0, ""vol_breakout"": 1.0}",13.576563927524115,13.576563927524115,78.71881744582076,78.71881744582076,0.0
2026-02-17T13:21:55.636945+00:00,97.6222510452184,20,97.5,-0.5000000000000004,"{""momentum"": 0.9286675313565523, ""mean_revert"": 1.0, ""vol_breakout"": 1.0}",39.268484840360316,39.268484840360316,79.15466288479315,79.15466288479315,0.0
2026-02-17T13:22:00.680022+00:00,97.244025853965,20,97.5,-0.5000000000000004,"{""momentum"": 0.9173207756189496, ""mean_revert"": 1.0, ""vol_breakout"": 1.0}",16.718406951387202,16.718406951387202,76.04331745221828,76.04331745221828,0.0
2026-02-17T13:22:05.736244+00:00,97.7731802194534,20,97.5,-0.5000000000000004,"{""momentum"": 0.9331954065836019, ""mean_revert"": 1.0, ""vol_breakout"": 1.0}",30.674752431568997,30.674752431568997,83.36964045559247,83.36964045559247,0.0
2026-02-17T13:22:10.769577+00:00,98.16813259887496,20,97.5,-0.5000000000000004,"{""momentum"": 0.9450439779662488, ""mean_revert"": 1.0, ""vol_breakout"": 1.0}",13.886834331965785,13.886834331965785,84.35725239723114,84.35725239723114,0.0
2026-02-17T13:22:15.890161+00:00,98.20717516731953,20,97.5,-0.5000000000000004,"{""momentum"": 0.9462152550195859, ""mean_revert"": 1.0, ""vol_breakout"": 1.0}",37.92926949768558,37.92926949768558,80.92608942433307,80.92608942433307,0.0
2026-02-17T13:22:20.944773+00:00,98.20127703344032,20,97.5,-0.5000000000000004,"{""momentum"": 0.9460383110032099, ""mean_revert"": 1.0, ""vol_breakout"": 1.0}",28.888289401554328,28.888289401554328,80.32301498692105,80.32301498692105,0.0
